adset_id,campaign,adset_name,phase,geo,targeting_method,job_titles,job_seniorities,job_functions,industries,company_list,exclusions,audience_size,notes
730825656,ent_it,SE_EntIT_2026_India_Education_AdGroup,Unspecified,India,,,,,,,,,
849133946,ent_it,SE_EntIT_2026_India_Finance_AdGroup,Unspecified,India,,,,,,,,,
849085726,ent_it,SE_EntIT_2026_India_Generic_AdGroup,Unspecified,India,,,,,,,,,
779625356,ent_it,SE_EntIT_2026_India_Healthcare_AdGroup,Unspecified,India,,,,,,,,,
654720056,ent_it,SE_EntIT_2026_India_Hero_AdGroup,Unspecified,India,,,,,,,,,
730125086,ent_it,SE_EntIT_2026_India_Manufacturing_AdGroup,Unspecified,India,,,,,,,,,
849162346,ent_it,SE_EntIT_2026_India_Retail_AdGroup,Unspecified,India,,,,,,,,,
779925796,ent_it,SE_EntIT_2026_MEA_Education_AdGroup,Unspecified,MEA,,,,,,,,,
730825846,ent_it,SE_EntIT_2026_MEA_Finance_AdGroup,Unspecified,MEA,,,,,,,,,
849085936,ent_it,SE_EntIT_2026_MEA_Generic_AdGroup,Unspecified,MEA,,,,,,,,,
730825836,ent_it,SE_EntIT_2026_MEA_Healthcare_AdGroup,Unspecified,MEA,,,,,,,,,
654820166,ent_it,SE_EntIT_2026_MEA_Hero_AdGroup,Unspecified,MEA,,,,,,,,,
849152646,ent_it,SE_EntIT_2026_MEA_Manufacturing_AdGroup,Unspecified,MEA,,,,,,,,,
849095056,ent_it,SE_EntIT_2026_MEA_Retail_AdGroup,Unspecified,MEA,,,,,,,,,
779424996,ent_it,SE_EntIT_2026_PAC_Education_AdGroup,Unspecified,Pacific,,,,,,,,,
779424986,ent_it,SE_EntIT_2026_PAC_Finance_AdGroup,Unspecified,Pacific,,,,,,,,,
849114606,ent_it,SE_EntIT_2026_PAC_Generic_AdGroup,Unspecified,Pacific,,,,,,,,,
849143176,ent_it,SE_EntIT_2026_PAC_Healthcare_AdGroup,Unspecified,Pacific,,,,,,,,,
655319866,ent_it,SE_EntIT_2026_PAC_Hero_AdGroup,Unspecified,Pacific,,,,,,,,,
730924996,ent_it,SE_EntIT_2026_PAC_Manufacturing_AdGroup,Unspecified,Pacific,,,,,,,,,
849075486,ent_it,SE_EntIT_2026_PAC_Retail_AdGroup,Unspecified,Pacific,,,,,,,,,
730227076,ent_it,SE_EntIT_2026_SAM_Education_AdGroup,Unspecified,South America,,,,,,,,,
779625686,ent_it,SE_EntIT_2026_SAM_Finance_AdGroup,Unspecified,South America,,,,,,,,,
849095256,ent_it,SE_EntIT_2026_SAM_Generic_AdGroup,Unspecified,South America,,,,,,,,,
730525596,ent_it,SE_EntIT_2026_SAM_Healthcare_AdGroup,Unspecified,South America,,,,,,,,,
656717546,ent_it,SE_EntIT_2026_SAM_Hero_AdGroup,Unspecified,South America,,,,,,,,,
849076096,ent_it,SE_EntIT_2026_SAM_Manufacturing_AdGroup,Unspecified,South America,,,,,,,,,
730925606,ent_it,SE_EntIT_2026_SAM_Retail_AdGroup,Unspecified,South America,,,,,,,,,
859128356,ind_edge,2463_SE_Industrial Edge Wave3_AWR_AU_image,Awareness,Australia,,,,,,,,,
859325536,ind_edge,2463_SE_Industrial Edge Wave3_CNS_AU_post,Consideration,Australia,,,,,,,,,
865104866,ind_edge,2463_SE_Industrial Edge Wave3_CNS_NZ_post,Consideration,New Zealand,,,,,,,,,
860493666,ind_edge,2463_SE_Industrial Edge Wave3_CNV_AU_leadgen,Conversion,Australia,,,,,,,,,
859158326,ind_edge,2463_SE_Industrial Edge Wave3_CNV_NZ_leadgen,Conversion,New Zealand,,,,,,,,,
857270896,software_first,2305_SE Software First EcoStruxure - AWR AU,Awareness,Australia,,,,,,,,,
860478356,software_first,2305_SE Software First EcoStruxure - CON AU,Consideration,Australia,,,,,,,,,
860429146,software_first,2305_SE Software First EcoStruxure - RT1 AU,Retargeting,Australia,,,,,,,,,
